0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
70.103,17.796,72.391,17.796,40.213,22.39,4.883,19.797,27.696,17.264,3.095,4.713,2.302,0,2.651,27.15,20.364,4.354,6.012,13.668,35.066,37.359,7.659,5.826,14.803,29.962,18.269,8.947,18.157,16.156,36.07,12.359,13.915,2.487,17.625,16.091,26.491,24.948,14.403,19.202,24.648,21.52,10.217,7.324,84.926,90.531,93.264,39.986,30.451,23.997,25.312,23.997,27.564,27.397,31.303,28.541,25.837,24.918,31.732,30.277,30.128,33.178,24.032,30.621,30.063,32.138,16.838,28.479,14.264,10.245,9.568,7.963,25.273,31.858,48.307,8.544,31.751,23.475,39.89,35.28,2.787,5.988,8.446,4.271,4.713,14.856,40.506,5.14,52.375,84.466,84.466,13.931,14.449,39.517,37.175,22.85,47.522,85.323,20.384,24.597,33.151,29.664,32.366,60.558,76.238,74.371,83.069,16.382,32.098,34.883,35.721,21.293,6.189,16.373,50.276,50.45,5.607,14.915,13.544,19.426,22.479,18.825,94.737,27.205,17.419,13.909,13.272,28.5,76.182,20.977,23.718,14.524,32.868,47.978,26.121,17.526,6.836,20.935,37.149,23.651,18.252,17.435,19.426,35.965
72.557,20.061,74.992,20.061,42.789,25.031,7.471,21.957,30.242,19.905,5.672,2.121,1.768,2.651,0,29.786,22.186,2.35,8.296,11.913,37.552,39.912,9.409,8.329,14.679,32.534,18.628,6.536,16.16,18.566,38.7,13.195,15.032,4.936,19.718,13.442,27.861,26.456,17.012,21.317,27.293,23.127,9.497,9.459,82.37,87.96,90.695,37.437,28.111,21.772,23.168,21.772,26.197,25.609,28.99,26.851,23.903,23.16,30.458,28.857,27.735,35.694,23.985,31.487,32.696,33.107,14.196,28.209,12.02,12.569,11.745,6.954,25.483,31.605,50.944,10.05,34.364,25.241,39.273,35.299,1.131,3.347,5.807,2.998,2.121,13.899,39.993,3.763,53.901,81.853,81.853,11.448,12.239,38.553,37.065,22.495,49.648,82.717,20.983,26.964,33.967,30.646,32.199,59.736,73.688,71.885,80.54,19.029,34.668,37.525,38.262,23.008,8.784,16.296,52.274,52.517,8.255,14.071,16.162,22.059,19.848,21.474,92.143,24.723,20.067,16.548,10.624,28.611,73.722,23.23,25.574,16.134,32.705,45.337,26.301,19.202,9.244,22.494,37.184,21.305,16.744,19.179,22.059,35.017
44.694,13.914,45.401,13.914,13.806,4.781,22.69,14.494,5.078,9.893,24.132,31.862,28.757,27.15,29.786,0,22.953,30.859,23.099,37.352,11.175,11.558,24.518,22.263,31.26,4.984,29.97,35.351,42.054,13.213,8.936,25.913,24.383,24.937,19.802,43.127,29.87,27.715,14.081,19.435,5.25,20.855,31.64,21.637,110.64,116.38,119.09,65.984,55.209,48.443,49.214,48.443,46.678,49.058,55.86,49.479,48.513,46.713,49.585,49.298,55.244,8.98,35.571,37.074,7.202,37.144,43.808,40.085,39.633,18.474,19.794,31.379,34.458,42.397,21.158,23.478,4.978,19.357,55.923,47.45,29.82,33.065,35.593,30.642,31.862,35.061,55.736,31.332,40.506,110.829,110.829,40.219,39.67,57.916,49.961,40.363,33.738,111.599,29.175,15.498,39.266,35.409,42.099,76.323,101.94,99.437,108.502,11.299,6.588,9.714,15.291,19.674,21.458,31.695,32.378,31.534,21.552,34.611,13.655,7.729,49.317,8.493,120.837,52.977,10.308,13.241,40.327,37.215,100.984,17.448,18.283,21.08,42.443,75.122,35.189,20.105,21.008,25.745,48.835,48.775,39.912,23.341,7.729,54.641
66.635,25.281,64.839,25.281,36.012,19.671,16.529,27.606,26.937,17.477,19.401,23.255,22.645,20.364,22.186,22.953,0,24.463,14.564,34.001,34.091,34.287,12.785,15.35,33.763,27.834,35.773,28.549,38.346,22.663,30.112,29.454,29.74,20.147,4,33.48,7.838,5.679,12.691,3.597,17.795,33.163,30.257,21.805,102.426,107.793,110.531,58.01,49.887,43.815,45.289,43.815,47.833,47.736,50.823,48.904,46.086,45.266,51.911,50.57,49.35,31.877,42.168,14.599,20.334,15.154,34.407,46.977,34.117,21.384,22.249,28.254,42.598,50.189,40.364,24.822,27.613,33.594,33.151,24.498,21.343,24.919,26.264,20.568,23.255,34.936,32.867,20.636,60.992,100.975,100.975,33.114,34.363,35.607,27.008,18.995,27.878,101.983,36.897,9.25,17.032,13.025,50.442,53.379,93.858,92.673,100.911,14.897,29.539,24.904,21.413,32.279,15.716,35.109,54.671,54.057,17.536,34.888,17.728,18.775,39.913,17.031,111.588,46.012,15.193,16.903,30.954,45.928,94.685,5.642,33.097,28.064,50.916,62.175,43.482,29.77,20.117,2.8,25.906,43.134,38.607,3.071,18.775,32.543
72.967,20.267,75.831,20.267,43.562,26.154,9.185,21.983,30.954,21.052,6.874,2.79,2.183,4.354,2.35,30.859,24.463,0,10.336,9.579,38.086,40.619,11.679,10.172,12.783,33.316,16.979,4.653,13.903,19.04,39.718,11.999,14.028,6.003,21.891,12.296,30.208,28.794,18.619,23.48,28.689,22.47,7.387,9.733,80.68,86.306,89.037,35.743,26.097,19.654,20.993,19.654,23.849,23.293,26.949,24.518,21.628,20.837,28.116,26.508,25.782,36.305,22.054,33.806,34.171,35.439,12.952,26.153,9.913,12.996,11.979,4.782,23.689,29.548,51.987,9.59,35.3,24.739,41.036,37.383,3.403,2.681,5.285,5.045,2.79,11.643,41.814,5.65,53.036,80.337,80.337,9.656,10.103,40.09,39.092,24.45,51.815,81.174,19.475,28.95,36.277,32.98,30.181,61.339,71.987,70.057,78.79,20.421,35.437,38.929,40.01,22.469,10.472,14.407,51.951,52.286,9.606,11.851,17.208,23.143,18.48,22.71,90.555,22.902,21.445,17.699,9.53,26.747,71.854,25.31,25.173,15.577,30.687,44.36,24.485,18.663,9.923,24.824,39.271,19.298,14.395,21.473,23.143,36.575
67.208,16.708,68.488,16.708,36.684,18.344,2.269,19.039,24.582,13.393,4.929,9.942,8.308,6.012,8.296,23.099,14.564,10.336,0,19.641,32.232,34.036,2.812,1.384,19.48,26.595,22.106,14.825,24.167,14.446,31.999,15.773,16.637,5.608,11.635,21.335,21.19,19.472,9.333,13.201,19.844,22.529,15.696,8.502,90.555,96.113,98.851,45.647,36.393,29.989,31.32,29.989,33.273,33.347,37.261,34.446,31.832,30.86,37.349,36.013,36.029,30.181,28.314,26.06,25.007,27.383,22.163,33.001,20.243,9.803,9.947,13.723,29.13,36.31,44.063,11.177,27.952,23.923,38.139,32.242,7.781,11.51,13.576,7.933,9.942,20.376,38.515,8.477,52.974,89.87,89.87,19.739,20.439,38.581,34.37,20.985,41.512,90.763,23.722,18.668,28.641,24.922,36.686,59.064,81.883,80.155,88.768,11.839,28.716,29.94,30.112,21.997,2.372,20.923,49.427,49.354,3.973,20.34,10.338,15.616,27.854,14.608,100.232,33.004,12.864,10.308,18.548,32.45,82.007,14.974,23.872,16.013,37.177,52.654,30.008,18.577,6.976,15.444,34.046,29.587,24.101,11.757,15.616,35.055
76.513,24.642,80.917,24.642,48.794,32.944,18.102,25.604,36.321,28.12,15.338,11.407,11.37,13.668,11.913,37.352,34.001,9.579,19.641,0,42.631,45.692,21.228,19.217,9.313,38.834,13.994,6.524,4.778,24.362,45.831,12.75,14.992,14.453,31.276,10.893,39.76,38.37,26.903,32.841,36.164,23.475,5.792,15.911,73.287,79.033,81.741,28.79,17.881,11.123,12.089,11.123,14.506,13.735,18.577,14.939,12.212,11.267,18.856,17.08,17.893,41.169,16.522,43.087,41.76,44.788,10.832,19.446,3.702,18.911,17.568,6.262,18.898,22.686,57.994,13.887,41.249,26.155,48.016,45.639,12.889,9.927,10.281,14.196,11.407,5.031,49.008,14.534,51.715,73.641,73.641,6.149,3.449,46.234,47.112,32.424,61.119,74.365,16.866,37.915,45.504,42.346,23.554,67.478,64.588,62.164,71.167,28.137,40.848,46.24,48.29,23.951,19.271,10.456,52.944,53.641,17.932,5.661,24.242,29.942,14.346,29.941,83.529,15.856,29.089,24.962,9.707,21.286,63.793,34.503,26.952,17.966,24.045,40.348,19.492,20.608,16.953,34.402,47.527,11.464,5.038,31.032,29.942,42.867
35.064,18.096,38.295,18.096,6.863,14.816,31.277,17.052,7.704,19.024,31.975,39.672,36.2,35.066,37.552,11.175,34.091,38.086,32.232,42.631,0,3.865,34.139,31.151,34.811,6.261,32.059,42.162,47.002,19.046,8.534,30.029,27.957,32.63,30.813,50.249,41.038,38.888,24.109,30.546,16.418,21.152,36.87,28.356,115.113,120.95,123.616,71.322,59.91,53.265,53.686,53.265,49.041,52.396,60.404,52.443,52.385,50.285,51.146,51.399,60.182,2.218,36.31,48.246,16.449,48.29,50.797,40.098,45.53,25.092,26.14,37.348,34.462,41.653,17.023,29.208,7.193,18.663,66.922,58.586,37.85,40.588,43.228,39.034,39.672,39.251,66.786,39.82,31.052,116.036,116.036,46.659,45.482,68.716,61.091,51.007,41.885,116.691,30.328,26.553,50.423,46.579,41.063,87.425,106.479,103.423,112.722,21.175,4.706,15.53,23.142,20.173,30.212,34.724,21.592,20.567,29.771,38.683,21.942,16.888,55.965,18.31,125.657,58.476,20.349,21.925,47.563,36.504,104.732,28.618,17.518,24.749,41.297,82.227,34.998,22.505,28.313,36.875,59.99,53.992,44.046,34.316,16.888,65.377
33.257,21.051,35.305,21.051,3.16,15.929,33.298,20.28,9.673,20.649,34.266,42.03,38.654,37.359,39.912,11.558,34.287,40.619,34.036,45.692,3.865,0,35.722,33.051,38.154,7.448,35.6,44.84,50.153,21.665,5.752,33.23,31.233,34.976,31.302,52.872,40.822,38.735,25.409,30.84,16.511,24.798,39.906,30.944,118.465,124.288,126.963,74.457,63.152,56.465,56.955,56.465,52.624,55.853,63.677,55.956,55.757,53.7,54.826,55.021,63.377,4.562,40.025,48.038,15.225,47.917,53.462,43.882,48.463,27.659,28.795,40.217,38.231,45.484,13.222,32.059,6.683,22.374,67.381,58.724,40.122,43.045,45.662,41.182,42.03,42.511,67.147,41.934,33.738,119.246,119.246,49.46,48.436,69.459,61.25,51.92,39.413,119.925,33.97,26.123,50.098,46.358,44.905,87.644,109.813,106.851,116.118,22.521,5.32,13.222,20.951,23.782,32.158,38.15,23.363,22.063,31.913,41.962,23.943,18.435,58.744,19.63,128.95,61.547,21.599,23.786,50.142,40.324,108.2,28.687,21.217,27.963,45.142,84.924,38.782,25.894,30.733,37.088,60.043,57.112,47.341,34.852,18.435,66.194
68.968,19.274,69.759,19.274,38.256,19.848,5.043,21.639,26.444,15.131,7.437,10.621,9.903,7.659,9.409,24.518,12.785,11.679,2.812,21.228,34.139,35.722,0,4.178,21.929,28.322,24.762,15.842,25.566,16.92,33.311,18.459,19.405,7.969,10.437,21.547,18.883,17.296,10.454,12.049,20.808,25.315,17.792,11.299,90.877,96.374,99.113,46.086,37.34,31.125,32.558,31.125,35.222,34.96,38.248,36.149,33.303,32.494,39.38,37.936,36.881,32.037,30.899,23.43,25.679,24.819,22.427,35.534,21.391,12.565,12.752,15.618,31.802,38.867,45.2,13.908,29.452,26.659,35.405,29.431,8.611,12.278,13.94,8.112,10.621,22.462,35.753,8.394,55.674,89.936,89.936,20.558,21.625,35.971,31.56,18.286,40.314,90.867,26.454,18.166,26.002,22.348,39.276,56.341,82.234,80.709,89.186,13.239,30.416,30.661,30.12,24.763,5.116,23.415,51.874,51.743,6.785,22.484,12.497,17.315,28.089,16.111,100.389,33.689,14.211,12.308,18.845,35.111,82.627,14.177,26.575,18.824,39.771,52.178,32.676,21.374,9.787,13.278,31.235,30.548,25.899,9.805,17.315,32.459
